college_tier,cgpa,internships,github_projects,backlogs,hackathons,certifications,skills,advanced_skills,intermediate_skills,basic_skills,aptitude_score,job_role,salary_lpa
Tier 2,5.5,0,4,2,4,1,"Deep Learning, React, HTML/CSS",1,1,1,39.5,Web Developer,6.17
Tier 3,6.75,0,2,2,0,2,"Excel, JavaScript, React, Docker, Python",0,3,2,52.4,Data Analyst,7.83
Tier 2,6.8,1,4,3,0,0,"Excel, DSA",1,0,1,53.3,Data Analyst,10.24
Tier 2,7.69,0,4,0,1,4,"SQL, Machine Learning, Excel, JavaScript, Linux",1,0,4,56.3,Data Analyst,13.19
Tier 1,7.99,1,2,0,2,3,"Deep Learning, Docker, Excel",1,1,1,54.4,Backend Developer,15.76
Tier 2,7.78,1,1,0,3,4,"Java, Git",0,1,1,45.3,Software Engineer,10.78
Tier 2,6.34,1,3,2,2,0,"Linux, Django, React, Docker",0,3,1,59.7,Backend Developer,8.33
Tier 2,6.22,2,1,0,1,1,"AWS, Python, HTML/CSS, React, Git",0,3,2,44.7,Junior Developer,8.17
Tier 2,9.23,1,2,0,1,1,"Django, Python",0,2,0,58.1,Backend Developer,10.24
Tier 2,7.93,1,2,2,2,0,"JavaScript, Python, Git",0,1,2,56.7,Data Analyst,10.29
Tier 3,4.0,2,1,3,0,1,"SQL, Linux, Java, DSA",1,1,2,31.0,Junior Developer,4.61
Tier 2,6.73,0,2,1,1,0,"Node.js, PyTorch, AWS, Git",1,2,1,36.6,DevOps Engineer,10.27
Tier 1,7.88,0,4,0,1,3,"TensorFlow, Git",1,0,1,57.5,Data Scientist,15.6
Tier 3,9.9,2,0,0,1,3,"Machine Learning, JavaScript, TensorFlow",2,0,1,79.9,Data Scientist,21.24
Tier 3,7.21,1,2,2,1,2,"Node.js, Linux, TensorFlow, Python, Django",1,3,1,52.3,Backend Developer,14.4
Tier 2,7.07,1,2,0,2,4,"Django, AWS, DSA, React, Machine Learning",2,3,0,59.4,Software Engineer,15.99
Tier 3,6.93,2,0,2,2,2,PyTorch,1,0,0,48.1,Junior Developer,9.36
Tier 2,8.3,1,2,1,3,2,"HTML/CSS, Java, Django",0,2,1,52.4,Backend Developer,10.53
Tier 1,9.48,0,6,1,2,0,"React, Git",0,1,1,60.0,Software Engineer,10.76
Tier 2,10.0,2,2,1,2,2,"Linux, JavaScript",0,0,2,77.8,Data Analyst,6.39
Tier 1,5.8,2,1,0,2,3,"Docker, Node.js, Python",0,3,0,37.6,Junior Developer,4.81
Tier 1,7.16,0,3,0,1,3,"Python, Docker, DSA, Git, Django",1,3,1,42.5,Backend Developer,16.04
Tier 2,8.23,4,3,0,1,4,"AWS, DSA",1,1,0,53.7,DevOps Engineer,19.64
Tier 3,6.89,2,5,2,2,0,"AWS, React, PyTorch, Linux",1,2,1,54.4,DevOps Engineer,10.55
Tier 2,6.73,0,2,0,1,0,"React, DSA, Linux, Docker",1,2,1,49.0,DevOps Engineer,10.29
Tier 2,9.05,1,0,0,1,4,"Excel, Deep Learning, Linux, Python, Docker, TensorFlow",2,2,2,73.4,Data Scientist,24.55
Tier 2,7.32,3,2,1,3,2,"DSA, SQL, React, Deep Learning, Git",2,1,2,63.1,Software Engineer,15.71
Tier 1,7.04,1,5,0,1,1,"DSA, AWS, Python",1,2,0,50.7,DevOps Engineer,15.79
Tier 1,5.31,1,1,0,0,1,"Docker, DSA, JavaScript",1,1,1,40.7,Junior Developer,4.41
Tier 2,6.1,2,2,0,1,3,"JavaScript, Excel, Linux",0,0,3,40.3,Data Analyst,6.2
Tier 3,5.35,2,4,0,1,1,"Docker, Excel, PyTorch, TensorFlow",2,1,1,34.3,Junior Developer,4.98
Tier 2,8.08,0,2,0,2,0,"Excel, Deep Learning, DSA, Docker, Django",2,2,1,67.6,Backend Developer,17.55
Tier 3,8.47,0,1,1,3,1,"JavaScript, Deep Learning",1,0,1,70.2,Data Analyst,12.05
Tier 3,7.13,0,1,0,1,0,"HTML/CSS, PyTorch, Machine Learning, Docker",2,1,1,46.2,Backend Developer,13.65
Tier 2,8.03,2,2,1,4,2,"TensorFlow, JavaScript, AWS, Docker, SQL, Machine Learning",2,2,2,71.9,Data Scientist,24.48
Tier 2,7.94,1,1,0,2,0,"TensorFlow, Machine Learning, SQL",2,0,1,71.4,Data Scientist,16.42
Tier 2,6.33,1,3,2,0,1,"Java, Excel, Python, Node.js",0,3,1,43.1,Backend Developer,8.16
Tier 1,7.01,1,0,0,0,0,"SQL, React",0,1,1,47.5,Backend Developer,10.88
Tier 1,7.67,0,4,1,2,2,"Machine Learning, TensorFlow, Python, Docker, Java",2,3,0,59.9,Backend Developer,16.52
Tier 2,9.68,2,1,0,0,1,"Linux, Django, Java, JavaScript, Excel",0,2,3,68.1,Backend Developer,10.55
Tier 2,8.15,0,3,2,2,1,"Node.js, Python",0,2,0,46.1,Backend Developer,11.19
Tier 3,5.2,0,5,1,1,2,"Machine Learning, PyTorch, Excel",2,0,1,46.7,Junior Developer,4.49
Tier 3,8.35,1,1,1,2,5,"React, Docker",0,2,0,58.1,Backend Developer,10.75
Tier 1,6.75,1,3,1,3,0,"HTML/CSS, Git, JavaScript, DSA",1,0,3,45.4,Junior Developer,8.39
Tier 1,6.25,0,1,3,0,3,"DSA, PyTorch, Machine Learning, Django, SQL",3,1,1,60.9,Backend Developer,10.24
Tier 2,7.91,3,0,0,0,2,"PyTorch, Git, Deep Learning",2,0,1,58.6,ML Engineer,15.91
Tier 3,4.73,0,3,0,1,1,"Python, Linux, PyTorch",1,1,1,38.4,Junior Developer,4.75
Tier 3,6.77,0,1,3,1,3,Machine Learning,1,0,0,47.5,Junior Developer,7.77
Tier 2,5.67,3,1,1,1,0,"JavaScript, Git",0,0,2,44.4,Junior Developer,4.64
Tier 2,7.18,1,0,0,0,2,"Excel, JavaScript, SQL",0,0,3,55.2,Data Analyst,6.14
Tier 1,6.21,0,2,2,3,2,Deep Learning,1,0,0,45.6,Junior Developer,9.23
Tier 1,8.11,0,1,2,2,0,"HTML/CSS, Django, Excel, Docker, DSA, Deep Learning",2,2,2,68.5,Backend Developer,17.96
Tier 3,6.83,2,1,1,0,4,"AWS, Linux",0,1,1,45.1,DevOps Engineer,7.44
Tier 2,9.52,1,2,0,2,3,"Deep Learning, Node.js, Django, PyTorch, AWS, Python",2,4,0,72.7,ML Engineer,30.98
Tier 3,6.35,0,2,0,1,0,"Docker, Java, AWS",0,3,0,43.5,Backend Developer,7.78
Tier 3,5.81,1,2,2,1,4,"AWS, Node.js, Excel",0,2,1,39.2,Web Developer,4.86
Tier 2,8.18,1,1,0,3,4,"SQL, Git",0,0,2,52.8,Backend Developer,6.28
Tier 2,6.78,0,1,1,0,6,"Deep Learning, Node.js, Git",1,1,1,43.9,DevOps Engineer,9.82
Tier 2,6.55,2,1,1,1,2,"Machine Learning, JavaScript",1,0,1,47.9,Data Analyst,10.3
Tier 2,6.91,1,1,1,0,2,"Git, Django",0,1,1,60.5,Backend Developer,8.0
Tier 1,6.77,2,1,0,1,0,"PyTorch, Git, Linux",1,0,2,49.2,DevOps Engineer,10.13
Tier 2,7.45,0,4,1,1,1,"Excel, JavaScript, AWS, PyTorch",1,1,2,57.1,Data Analyst,13.21
Tier 3,7.66,5,1,1,2,3,"TensorFlow, PyTorch, AWS, Python, JavaScript",2,2,1,58.1,ML Engineer,15.62
Tier 3,7.73,0,2,0,0,2,"PyTorch, Excel",1,0,1,53.6,Data Analyst,11.11
Tier 2,5.39,4,2,0,1,2,"Linux, Python, Django",0,2,1,28.1,Junior Developer,3.14
Tier 3,7.04,0,0,0,3,2,"Deep Learning, Linux, TensorFlow, Django",2,1,1,52.4,Data Scientist,14.56
Tier 1,7.94,2,3,0,0,2,"TensorFlow, Excel, Git, Node.js",1,1,2,57.8,Data Analyst,13.2
Tier 2,7.85,1,4,0,2,1,"DSA, Django, Machine Learning, Linux, SQL",2,1,2,65.0,Backend Developer,15.85
Tier 3,6.19,1,1,0,0,3,"HTML/CSS, Git, Deep Learning, SQL",1,0,3,47.5,Junior Developer,9.0
Tier 3,7.56,1,3,0,4,2,"JavaScript, Git",0,0,2,63.7,Data Analyst,6.51
Tier 1,7.58,2,2,1,0,2,JavaScript,0,0,1,49.6,Data Analyst,6.72
Tier 2,8.19,2,4,0,3,4,HTML/CSS,0,0,1,60.1,Web Developer,6.24
Tier 2,6.15,0,1,2,1,3,"Java, Machine Learning, AWS, Docker",1,3,0,55.7,Backend Developer,10.55
Tier 3,7.05,1,3,1,1,3,"Django, AWS, JavaScript",0,2,1,56.0,Web Developer,10.19
Tier 3,7.08,0,1,1,2,2,"DSA, Java, SQL",1,1,1,49.7,Backend Developer,10.98
Tier 2,8.48,0,4,0,2,1,"AWS, Deep Learning, Node.js, React, JavaScript, HTML/CSS",1,3,2,65.4,Web Developer,15.39
Tier 3,7.04,0,1,0,2,2,"Docker, PyTorch",1,1,0,48.7,Backend Developer,11.51
Tier 2,5.26,0,3,0,0,2,"Django, Linux",0,1,1,46.9,Junior Developer,4.0
Tier 2,5.44,0,3,1,1,2,Node.js,0,1,0,43.1,Junior Developer,3.77
Tier 1,7.41,0,3,0,1,4,"DSA, Node.js, Git",1,1,1,50.7,Software Engineer,15.96
Tier 2,7.38,1,2,0,2,1,SQL,0,0,1,52.8,Backend Developer,6.49
Tier 2,6.72,1,1,0,1,4,"Java, Python",0,2,0,50.0,Backend Developer,8.14
Tier 3,7.09,0,4,0,3,4,"TensorFlow, React",1,1,0,58.1,Data Scientist,14.23
Tier 2,7.83,1,3,1,1,2,Linux,0,0,1,59.6,DevOps Engineer,6.4
Tier 3,7.3,1,1,0,0,1,Deep Learning,1,0,0,52.8,Data Scientist,10.57
Tier 1,7.2,1,1,0,2,3,"Excel, TensorFlow, JavaScript, Deep Learning, Machine Learning",3,0,2,55.5,Data Scientist,15.59
Tier 1,7.85,1,2,0,5,1,"Docker, DSA, AWS",1,2,0,59.0,DevOps Engineer,15.7
Tier 1,7.64,1,0,0,0,3,"HTML/CSS, Django, Machine Learning",1,1,1,53.2,Web Developer,15.02
Tier 2,6.74,1,1,1,0,4,"Machine Learning, SQL",1,0,1,49.3,Backend Developer,10.56
Tier 2,7.47,1,3,0,0,1,Excel,0,0,1,46.9,Data Analyst,6.28
Tier 1,5.81,1,1,1,1,3,"Deep Learning, Git, PyTorch",2,0,1,52.6,Junior Developer,6.08
Tier 3,9.11,3,2,0,3,3,"Linux, JavaScript",0,0,2,68.9,Data Analyst,5.73
Tier 2,6.27,1,3,0,1,0,"JavaScript, Docker, DSA, SQL",1,1,2,49.2,Backend Developer,9.82
Tier 2,4.35,2,0,0,2,3,"SQL, Machine Learning, Docker, DSA",2,1,1,41.2,Junior Developer,4.94
Tier 3,7.85,2,3,0,5,3,"Node.js, Python, DSA, React, TensorFlow",2,3,0,67.7,Software Engineer,16.54
Tier 3,6.74,0,1,0,0,3,"Deep Learning, Docker, TensorFlow",2,1,0,56.5,Backend Developer,9.86
Tier 3,8.39,2,3,0,1,2,"Git, SQL",0,0,2,56.2,Backend Developer,6.65
Tier 2,5.52,3,0,1,1,1,"Git, Django, JavaScript, Machine Learning",1,1,2,40.6,Junior Developer,6.15
Tier 1,6.35,1,7,1,0,6,"Machine Learning, Java, Git",1,1,1,48.9,Junior Developer,8.77
Tier 2,6.4,0,0,0,2,2,"Python, Java",0,2,0,48.5,Backend Developer,8.4
Tier 3,7.46,1,5,1,1,4,Excel,0,0,1,58.8,Data Analyst,6.74
Tier 1,7.66,2,3,1,3,1,"Node.js, SQL, Docker, Java",0,3,1,61.0,Backend Developer,10.91
Tier 2,7.68,1,2,1,5,1,"SQL, Machine Learning, TensorFlow, Git, Excel",2,0,3,56.5,Data Scientist,15.5
Tier 1,7.65,2,1,0,1,4,Python,0,1,0,57.3,Backend Developer,10.16
Tier 3,8.07,1,5,0,0,4,"Excel, SQL, Git, Machine Learning, Java",1,1,3,56.7,Backend Developer,16.21
Tier 3,6.79,0,1,0,0,1,"React, Django, Git",0,2,1,47.2,Software Engineer,7.3
Tier 1,8.05,0,1,0,1,1,"TensorFlow, Docker, Deep Learning, Linux, HTML/CSS",2,1,2,60.5,Data Scientist,24.18
Tier 1,6.33,0,2,0,1,2,React,0,1,0,45.4,Software Engineer,8.81
Tier 2,7.42,0,1,0,2,3,"Node.js, TensorFlow, JavaScript, AWS, Java",1,3,1,49.9,Junior Developer,9.14
Tier 3,7.82,1,5,0,2,3,"Git, Machine Learning, Python",1,1,1,55.6,Data Scientist,15.31
Tier 2,6.41,0,2,1,1,3,HTML/CSS,0,0,1,46.9,Junior Developer,6.01
Tier 1,7.35,0,1,1,3,2,"Linux, SQL, Django",0,1,2,52.1,Backend Developer,10.15
Tier 2,7.48,0,2,1,1,4,"Java, TensorFlow, Django, Git",1,2,1,59.2,Backend Developer,15.37
Tier 3,6.3,0,2,0,0,2,"Python, Git, HTML/CSS, SQL",0,1,3,53.6,Junior Developer,7.1
Tier 2,6.95,1,4,0,0,2,"JavaScript, SQL",0,0,2,41.4,Data Analyst,6.41
Tier 2,8.06,1,0,0,2,0,"Deep Learning, DSA, JavaScript",2,0,1,55.1,Data Analyst,13.11
Tier 3,7.3,0,1,1,1,2,Deep Learning,1,0,0,49.7,Data Scientist,9.76
Tier 3,7.14,1,0,1,1,1,"Docker, Java, Excel",0,2,1,50.5,Backend Developer,7.59
Tier 2,6.86,2,5,1,4,1,"Django, DSA",1,1,0,53.3,Backend Developer,9.51
Tier 2,6.53,0,3,1,0,1,DSA,1,0,0,50.2,Software Engineer,9.1
Tier 2,6.78,3,3,0,0,2,"Excel, Machine Learning",1,0,1,41.7,Data Analyst,9.92
Tier 2,7.71,1,1,0,2,2,HTML/CSS,0,0,1,42.5,Web Developer,6.38
Tier 2,5.36,0,0,2,4,3,"Linux, Excel, AWS",0,1,2,49.4,Junior Developer,3.56
Tier 2,7.11,1,0,1,0,2,"Git, Linux, Machine Learning, HTML/CSS, JavaScript",1,0,4,56.3,Junior Developer,9.42
Tier 2,4.91,3,3,0,2,2,Linux,0,0,1,37.9,Junior Developer,3.92
Tier 3,6.43,2,2,0,0,3,"DSA, Machine Learning",2,0,0,60.2,Software Engineer,9.86
Tier 1,6.51,1,1,2,0,2,"Excel, Machine Learning, React, Linux, SQL",1,1,3,56.5,Data Analyst,10.05
Tier 3,7.06,2,1,1,1,2,"AWS, Deep Learning, Java, SQL, Node.js",1,3,1,55.8,Backend Developer,14.99
Tier 3,5.13,0,0,0,2,0,"Docker, Linux",0,1,1,44.2,Junior Developer,3.24
